Week,bitcoin: (Worldwide),Date,Open,High,Low,Close,Adj Close,Volume
2023-09-17,16,2023-09-17,26567.927734,26617.998047,26445.074219,26534.1875,26534.1875,6774210670
2023-09-24,15,2023-09-24,26579.373047,26716.058594,26221.050781,26256.826172,26256.826172,8192867686
2023-10-01,16,2023-10-01,26967.396484,28047.238281,26965.09375,27983.75,27983.75,9503917434
2023-10-08,15,2023-10-08,27971.677734,28102.169922,27740.662109,27935.089844,27935.089844,7916875290
2023-10-15,18,2023-10-15,26858.011719,27289.169922,26817.894531,27159.652344,27159.652344,7098201980
2023-10-22,26,2023-10-22,29918.654297,30199.433594,29720.3125,29993.896484,29993.896484,10446520040
2023-10-29,21,2023-10-29,34089.371094,34743.261719,33947.566406,34538.480469,34538.480469,11160323986
2023-11-05,23,2023-11-05,35090.011719,35340.339844,34594.242188,35049.355469,35049.355469,12412743996
2023-11-12,21,2023-11-12,37133.992188,37227.691406,36779.117188,37054.519531,37054.519531,11545715999
2023-11-19,20,2023-11-19,36585.765625,37509.355469,36414.597656,37386.546875,37386.546875,12915986553
2023-11-26,20,2023-11-26,37796.828125,37820.300781,37162.75,37479.121094,37479.121094,13744796068
2023-12-03,30,2023-12-03,39472.207031,40135.605469,39298.164063,39978.390625,39978.390625,15769696322
2023-12-10,24,2023-12-10,43728.382813,44034.625,43593.285156,43779.699219,43779.699219,13000481418
2023-12-17,24,2023-12-17,42236.109375,42359.496094,41274.542969,41364.664063,41364.664063,16678702876
2023-12-24,22,2023-12-24,43728.367188,43945.523438,42786.917969,43016.117188,43016.117188,18830554085
2023-12-31,29,2023-12-31,42152.097656,42860.9375,41998.253906,42265.1875,42265.1875,16397498810
2024-01-07,41,2024-01-07,43998.464844,44495.570313,43662.230469,43943.097656,43943.097656,19330573863
2024-01-14,25,2024-01-14,42842.261719,43065.597656,41724.613281,41796.269531,41796.269531,17521429522
2024-01-21,23,2024-01-21,41671.488281,41855.367188,41497.007813,41545.785156,41545.785156,9344043642
2024-01-28,19,2024-01-28,42126.125,42797.175781,41696.910156,42035.59375,42035.59375,16858971687
2024-02-04,20,2024-02-04,42994.941406,43097.644531,42374.832031,42583.582031,42583.582031,14802225490
2024-02-11,29,2024-02-11,47768.96875,48535.9375,47617.40625,48293.917969,48293.917969,19315867136
2024-02-18,22,2024-02-18,51661.96875,52356.964844,51233.707031,52122.546875,52122.546875,17595377311
2024-02-25,42,2024-02-25,51565.214844,51950.027344,51306.171875,51733.238281,51733.238281,15413239245
2024-03-03,50,2024-03-03,62031.578125,63230.210938,61435.023438,63167.371094,63167.371094,26253811450
2024-03-10,50,2024-03-10,68500.257813,70005.203125,68239.976563,69019.789063,69019.789063,35683977532
2024-03-17,38,2024-03-17,65316.34375,68845.71875,64545.316406,68390.625,68390.625,44716864318
2024-03-24,32,2024-03-24,64070.753906,67622.757813,63825.851563,67234.171875,67234.171875,27206630673
2024-03-31,30,2024-03-31,69647.78125,71377.78125,69624.867188,71333.648438,71333.648438,20050941373
2024-04-07,30,2024-04-07,68897.109375,70284.429688,68851.632813,69362.554688,69362.554688,21204930369
